,id,identifier,formula,temperature,efermi,e_per_atom,ele_cell,med_mass,var_mass,med_raio,var_raio,med_ele,var_ele,med_val,var_val,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,p1,p2,p3,p4,p5,p6,p7,e_l1,e_l2,e_l3,e_l4,e_l5,e_l6,e_l7,tetragonal,trigonal,orthorhombic,cubic,monoclinic,triclinic,hexagonal,⟨S²σ⟩,κₑᵉ
22,5e5dbefc5a4b4bd4eb1ed615,mp-559010,Sb2OsC4(OF3)4,300,-2.69750559,-2.0679658665991303,92,71.79970064,5199.628495806337,0.9099999999999999,0.1504,2.8440000000000003,0.555464,0.8,0.9600000000000002,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,10,33,36,50,19,2,0,0,0,1,0,0,0,0,1.37077,45.5939
23,5e5dbefd5a4b4bd4eb1ed616,mp-555901,KCuCO3F,300,1.00266812,-1.9095731005985712,14,29.93056064,369.7511833532368,1.0699999999999998,0.40760000000000013,2.5380000000000003,1.2503360000000001,0.8,0.9600000000000002,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,10,33,26,2,0,0,0,0,0,1,0,0,0,0,16.8915,184463000.0
24,5e5dbefd5a4b4bd4eb1ed617,mp-734042,MgH12(NO6)2,300,-1.55027019,-1.4161959728962956,54,13.82976,69.71709166580001,0.75,0.21125,2.4975000000000005,0.67031875,0.75,0.6875,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,7,19,2,0,0,0,0,0,0,0,0,1,0,0,0.746282,9.61427
27,5e5dbefd5a4b4bd4eb1ed61a,mp-29654,B9H11,300,-2.00157125,-0.17421671892849985,160,5.90947,24.024996340899996,0.55,0.09,2.12,0.006400000000000012,1.5,0.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,1.74619,26.5783
,id,identifier,formula,temperature,efermi,e_per_atom,ele_cell,med_mass,var_mass,med_raio,var_raio,med_ele,var_ele,med_val,var_val,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,p1,p2,p3,p4,p5,p6,p7,e_l1,e_l2,e_l3,e_l4,e_l5,e_l6,e_l7,tetragonal,trigonal,orthorhombic,cubic,monoclinic,triclinic,hexagonal,⟨S²σ⟩,κₑᵉ
22,5e5dbefc5a4b4bd4eb1ed615,mp-559010,Sb2OsC4(OF3)4,300,-2.69750559,-2.0679658665991303,92,71.79970064,5199.628495806337,0.9099999999999999,0.1504,2.8440000000000003,0.555464,0.8,0.9600000000000002,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,10,33,36,50,19,2,0,0,0,1,0,0,0,0,1.37077,45.5939
23,5e5dbefd5a4b4bd4eb1ed616,mp-555901,KCuCO3F,300,1.00266812,-1.9095731005985712,14,29.93056064,369.7511833532368,1.0699999999999998,0.40760000000000013,2.5380000000000003,1.2503360000000001,0.8,0.9600000000000002,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,10,33,26,2,0,0,0,0,0,1,0,0,0,0,16.8915,184463000.0
24,5e5dbefd5a4b4bd4eb1ed617,mp-734042,MgH12(NO6)2,300,-1.55027019,-1.4161959728962956,54,13.82976,69.71709166580001,0.75,0.21125,2.4975000000000005,0.67031875,0.75,0.6875,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,7,19,2,0,0,0,0,0,0,0,0,1,0,0,0.746282,9.61427
27,5e5dbefd5a4b4bd4eb1ed61a,mp-29654,B9H11,300,-2.00157125,-0.17421671892849985,160,5.90947,24.024996340899996,0.55,0.09,2.12,0.006400000000000012,1.5,0.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,1.74619,26.5783
30,5e5dbefd5a4b4bd4eb1ed61d,mp-743605,ZrCrCu2(PO4)3,300,3.26262668,-2.5273841379699262,38,50.7478524,680.4277647883431,1.1800000000000002,0.1166,2.104,0.5260239999999998,1.6,0.6400000000000002,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,10,38,54,12,2,0,0,0,0,0,0,0,1,0,0.870628,33.4596
