,id,identifier,formula,temperature,energy,volume,⟨S²σ⟩p,⟨S²σ⟩n,κₑᵉ
0,5e5dbe311a2cb8308b07df58,mp-770629,Li2AlFeO4,300,-202.82728764,353.0511140240079,961.153,3.97474,252.957
1,5e5dbefa5a4b4bd4eb1ed600,mp-623511,Sn,300,-3.94239206,28.289587542297355,4297.91,4.29802,5572520000.0
2,5e5dbefa5a4b4bd4eb1ed601,mp-1992,Pu5Ru3,300,-198.10375737,332.0236613873503,223.805,0.223805,40227200.0
3,5e5dbefa5a4b4bd4eb1ed602,mp-27502,CNCl,300,-36.63765513,144.6731867429576,1106.51,7.41253,612.327
4,5e5dbefa5a4b4bd4eb1ed603,mp-27202,B9H8S,300,-372.20545815,837.9315040499896,747.844,0.894912,33.0076
5,5e5dbefa5a4b4bd4eb1ed604,mp-559608,K3NdSi7O17,300,-830.70332121,1688.9898843896337,64.2078,9.88236,805.625
6,5e5dbefb5a4b4bd4eb1ed605,mp-753943,Li2FeS2,300,-24.69776641,81.53713611490662,50683.8,50.7167,28602900.0
7,5e5dbefb5a4b4bd4eb1ed606,mp-755789,Na2Be2O3,300,-78.70316711,196.60385801678262,2119.94,8.85296,948.803
8,5e5dbefb5a4b4bd4eb1ed607,mp-19171,Y(FeO2)2,300,-52.36135381,90.48301008896759,504.661,0.504629,228616000.0
10,5e5dbefb5a4b4bd4eb1ed609,mp-31746,Li3Cr(PO4)2,300,-379.37753492,670.3777102621727,279.61,0.100202,0.177548
11,5e5dbefb5a4b4bd4eb1ed60a,mp-754777,NaLaO2,300,-26.76280764,65.91583983220816,2338.23,8.99488,1208.91
12,5e5dbefb5a4b4bd4eb1ed60b,mp-23475,Rb2PbCl6,300,-28.42880477,291.0406993774347,1778.69,8.54602,1064.41
13,5e5dbefb5a4b4bd4eb1ed60c,mp-770427,BaLaCl5,300,-131.83762291,886.2185215050074,4250.24,0.0356652,0.615684
14,5e5dbefb5a4b4bd4eb1ed60d,mp-557592,CrAg(PS3)2,300,-103.02616393,454.6157610891077,2966.42,4.49877,268.134
15,5e5dbefc5a4b4bd4eb1ed60e,mp-10367,HfSbRh,300,-22.02116106,68.31016347287085,11948.2,11.9478,1559070000.0
16,5e5dbefc5a4b4bd4eb1ed60f,mp-559833,Na2YC(OF)3,300,-528.50731363,1005.9981231265349,176.159,8.33878,676.041
17,5e5dbefc5a4b4bd4eb1ed610,mp-9761,ReO3,300,-66.67935662,94.27770640546002,31.5436,0.0315433,500594000.0
18,5e5dbefc5a4b4bd4eb1ed611,mp-42190,K2NaTiOF5,300,-56.1999504,152.04174636483316,2427.27,0.74408,2.83204
19,5e5dbefc5a4b4bd4eb1ed612,mp-568030,Th(Al5Fe)2,300,-132.67924803,413.912332310161,28680.9,28.6853,165514000.0
21,5e5dbefc5a4b4bd4eb1ed614,mp-5889,Er2Ti2O7,300,-192.65110684,258.9983201380598,7943.12,7.74305,556.792
22,5e5dbefc5a4b4bd4eb1ed615,mp-559010,Sb2OsC4(OF3)4,300,-551.55501997,1570.6599052461934,33.3823,1.37077,45.5939
23,5e5dbefd5a4b4bd4eb1ed616,mp-555901,KCuCO3F,300,-83.80381517,189.2675358880993,16901.4,16.8915,184463000.0
24,5e5dbefd5a4b4bd4eb1ed617,mp-734042,MgH12(NO6)2,300,-290.68078567,521.7947665931558,456.778,0.746282,9.61427
25,5e5dbefd5a4b4bd4eb1ed618,mp-979956,Yb3Mg,300,-6.14488302,142.14879000584517,37451.6,37.4555,445026000.0
27,5e5dbefd5a4b4bd4eb1ed61a,mp-29654,B9H11,300,-793.82541595,1517.2978082369132,2908.26,1.74619,26.5783
29,5e5dbefd5a4b4bd4eb1ed61c,mp-567306,Li3Ga7,300,-58.08047664,370.11016405879906,19158.4,19.1613,404641000.0
30,5e5dbefd5a4b4bd4eb1ed61d,mp-743605,ZrCrCu2(PO4)3,300,-278.67294864,502.06327343220454,113.955,0.870628,33.4596
33,5e5dbefe5a4b4bd4eb1ed620,mp-554699,GePbO3,300,-184.55366812,537.6602627516403,2282.08,10.3375,813.501
34,5e5dbefe5a4b4bd4eb1ed621,mp-554288,NaPH4O5,300,-250.18534462,455.13618913049953,288.361,9.32645,858.853
35,5e5dbefe5a4b4bd4eb1ed622,mp-973480,Nd(BRh)4,300,-131.66010895,218.23833411874358,5498.37,5.49876,493872000.0
