Iteration 1, loss = 81288562849565456.00000000
Iteration 2, loss = 81288562199942224.00000000
Iteration 3, loss = 81288533410270320.00000000
Iteration 4, loss = 81288027228564976.00000000
Iteration 5, loss = 81283594508908704.00000000
Iteration 6, loss = 81261754988589152.00000000
Iteration 7, loss = 81180041210770400.00000000
Iteration 8, loss = 80934094471774480.00000000
Iteration 9, loss = 80317225808615152.00000000
Iteration 10, loss = 79008047233413024.00000000
Iteration 11, loss = 76586141326809328.00000000
Iteration 12, loss = 72635805139166496.00000000
Iteration 13, loss = 67272121640976168.00000000
Iteration 14, loss = 61671790885154184.00000000
Iteration 15, loss = 57423423269680984.00000000
Iteration 16, loss = 55112142848013208.00000000
Iteration 17, loss = 53995031781350872.00000000
Iteration 18, loss = 53229055619037312.00000000
Iteration 19, loss = 52601452141135824.00000000
Iteration 20, loss = 52054899422951512.00000000
Iteration 21, loss = 51558384430329728.00000000
Iteration 22, loss = 51114135260423920.00000000
Iteration 23, loss = 50709491021202496.00000000
Iteration 24, loss = 50334083224036224.00000000
Iteration 25, loss = 50015250910292568.00000000
Iteration 26, loss = 49666954525729104.00000000
Iteration 27, loss = 49353542311308624.00000000
Iteration 28, loss = 49046114776021096.00000000
Iteration 29, loss = 48787006704282472.00000000
Iteration 30, loss = 48547650749661416.00000000
Iteration 31, loss = 48295818442266912.00000000
Iteration 32, loss = 48072303189494544.00000000
Iteration 33, loss = 47860774786643424.00000000
Iteration 34, loss = 47686142082575248.00000000
Iteration 35, loss = 47476883623084192.00000000
Iteration 36, loss = 47305538850223752.00000000
Iteration 37, loss = 47138685438011448.00000000
Iteration 38, loss = 46990403565429632.00000000
Iteration 39, loss = 46839897323391008.00000000
Iteration 40, loss = 46707254377480032.00000000
Iteration 41, loss = 46568612706347784.00000000
Iteration 42, loss = 46446081767744408.00000000
Iteration 43, loss = 46320038707171792.00000000
Iteration 44, loss = 46215521482413872.00000000
Iteration 45, loss = 46088884146009080.00000000
Iteration 46, loss = 45991517636808896.00000000
Iteration 47, loss = 45894035965413480.00000000
Iteration 48, loss = 45801977437099432.00000000
Iteration 49, loss = 45724672375441112.00000000
Iteration 50, loss = 45616233600961736.00000000
Iteration 51, loss = 45544644691178696.00000000
Iteration 52, loss = 45473795572308624.00000000
Iteration 53, loss = 45371258747536808.00000000
Iteration 54, loss = 45305901831598000.00000000
Iteration 55, loss = 45230838253717896.00000000
Iteration 56, loss = 45150722109668248.00000000
Iteration 57, loss = 45073375908184904.00000000
Iteration 58, loss = 45026572211889968.00000000
Iteration 59, loss = 44942733537905776.00000000
Iteration 60, loss = 44891464436304384.00000000
Iteration 61, loss = 44815515362988416.00000000
Iteration 62, loss = 44753055449894480.00000000
Iteration 63, loss = 44703815726303048.00000000
Iteration 64, loss = 44637052403470240.00000000
Iteration 65, loss = 44602543164828496.00000000
Iteration 66, loss = 44523489035171032.00000000
Iteration 67, loss = 44455196995964688.00000000
Iteration 68, loss = 44446912616840328.00000000
Iteration 69, loss = 44371564099553432.00000000
Iteration 70, loss = 44321790562738160.00000000
Iteration 71, loss = 44247399937240744.00000000
Iteration 72, loss = 44203852204258000.00000000
Iteration 73, loss = 44155046141058288.00000000
Iteration 74, loss = 44095040074368536.00000000
Iteration 75, loss = 44033616357912904.00000000
Iteration 76, loss = 43997462229993424.00000000
Iteration 77, loss = 43937034829572056.00000000
Iteration 78, loss = 43891128236086400.00000000
