Acessando Banco de Dados de Materiais ... :) 

Criando Conjunto de Dados ... :) 

Iteration 1, loss = 79020348137923536.00000000
Iteration 2, loss = 79020347451588000.00000000
Iteration 3, loss = 79020315306450288.00000000
Iteration 4, loss = 79019777642034496.00000000
Iteration 5, loss = 79015279179370816.00000000
Iteration 6, loss = 78992488705918048.00000000
Iteration 7, loss = 78905065431022288.00000000
Iteration 8, loss = 78648767847864896.00000000
Iteration 9, loss = 77991766275398784.00000000
Iteration 10, loss = 76568877712173856.00000000
Iteration 11, loss = 73939811227332672.00000000
Iteration 12, loss = 69788960181479480.00000000
Iteration 13, loss = 64346432507273360.00000000
Iteration 14, loss = 58923847265400376.00000000
Iteration 15, loss = 55113338535954760.00000000
Iteration 16, loss = 53177532932142440.00000000
Iteration 17, loss = 52216035279088032.00000000
Iteration 18, loss = 51551006881851824.00000000
Iteration 19, loss = 51028633523522456.00000000
Iteration 20, loss = 50539594248618048.00000000
Iteration 21, loss = 50105743441825752.00000000
Iteration 22, loss = 49714171641914192.00000000
Iteration 23, loss = 49358904358907768.00000000
Iteration 24, loss = 49047341612602968.00000000
Iteration 25, loss = 48739478063826128.00000000
Iteration 26, loss = 48459001101726528.00000000
Iteration 27, loss = 48187114339290336.00000000
Iteration 28, loss = 47947276163389528.00000000
Iteration 29, loss = 47715091437473488.00000000
Iteration 30, loss = 47485643349921576.00000000
Iteration 31, loss = 47280900695469520.00000000
Iteration 32, loss = 47098751600782776.00000000
Iteration 33, loss = 46907987680328016.00000000
Iteration 34, loss = 46738170347802760.00000000
Iteration 35, loss = 46572221177776864.00000000
Iteration 36, loss = 46425626023562656.00000000
Iteration 37, loss = 46274989543733344.00000000
Iteration 38, loss = 46135141480985184.00000000
Iteration 39, loss = 46023253414541728.00000000
Iteration 40, loss = 45882098810050160.00000000
Iteration 41, loss = 45765729317830232.00000000
Iteration 42, loss = 45656121423680888.00000000
Iteration 43, loss = 45609259528694504.00000000
Iteration 44, loss = 45473992540800640.00000000
Iteration 45, loss = 45345457096285272.00000000
Iteration 46, loss = 45279373146421864.00000000
Iteration 47, loss = 45169478755836368.00000000
Iteration 48, loss = 45079739415344024.00000000
Iteration 49, loss = 45002556699428800.00000000
Iteration 50, loss = 44925126198011944.00000000
Iteration 51, loss = 44832752607167336.00000000
Iteration 52, loss = 44762749518238640.00000000
