Iteration 1, loss = 18252850364.67786789
Iteration 2, loss = 18252849937.37844849
Iteration 3, loss = 18252849815.34837341
Iteration 4, loss = 18252849709.63046646
Iteration 5, loss = 18252849712.09431076
Iteration 6, loss = 18252849542.58249283
Iteration 7, loss = 18252849281.88692474
Iteration 8, loss = 18252849027.72621155
Iteration 9, loss = 18252848663.47121429
Iteration 10, loss = 18252848223.62657928
Iteration 11, loss = 18252847192.43078613
Iteration 12, loss = 18252847862.88820267
Iteration 13, loss = 18252843858.21799088
Iteration 14, loss = 18252837666.21692276
Iteration 15, loss = 18252821895.68870163
Iteration 16, loss = 18252791344.83958054
Iteration 17, loss = 18252741533.04593277
Iteration 18, loss = 18252724217.50201416
Iteration 19, loss = 18252530687.90795898
Iteration 20, loss = 18252397457.80527878
Iteration 21, loss = 18252193054.18037415
Iteration 22, loss = 18251848498.56521606
Iteration 23, loss = 18251308815.76525879
Iteration 24, loss = 18250936139.21175003
Iteration 25, loss = 18249781804.58431625
Iteration 26, loss = 18248589909.34991837
Iteration 27, loss = 18247380874.92676163
Iteration 28, loss = 18245776422.33999634
Iteration 29, loss = 18243120627.04062653
Iteration 30, loss = 18240165561.48803711
Iteration 31, loss = 18236985223.54406357
Iteration 32, loss = 18234282009.47323990
Iteration 33, loss = 18227867723.43523788
Iteration 34, loss = 18222367550.64589310
Iteration 35, loss = 18215785627.56223679
Iteration 36, loss = 18209864147.09061432
Iteration 37, loss = 18204318604.21329117
Iteration 38, loss = 18194010327.35360336
Iteration 39, loss = 18180015419.73909760
Iteration 40, loss = 18164724375.96623993
Iteration 41, loss = 18167944711.61185074
Iteration 42, loss = 18146964809.48666382
Iteration 43, loss = 18127288190.07220459
Iteration 44, loss = 18113197103.39138412
Iteration 45, loss = 18089486156.38177872
Iteration 46, loss = 18062390337.94216919
Iteration 47, loss = 18031208849.08848572
Iteration 48, loss = 18034507189.79001236
Iteration 49, loss = 17991197787.36394501
Iteration 50, loss = 17945614251.06706238
Iteration 51, loss = 17905712284.20027924
Iteration 52, loss = 17878799727.92938232
Iteration 53, loss = 17849453739.22394180
Iteration 54, loss = 17788834286.12209702
Iteration 55, loss = 17721675271.39852524
Iteration 56, loss = 17666342962.32338333
Iteration 57, loss = 17623529327.63788986
Iteration 58, loss = 17528773445.75802994
Iteration 59, loss = 17486265923.51341629
Iteration 60, loss = 17368116378.55414200
Iteration 61, loss = 17284346138.12168121
Iteration 62, loss = 17195406695.48007584
Iteration 63, loss = 17078678728.56000328
Iteration 64, loss = 17045869381.01186752
Iteration 65, loss = 16904666368.58561707
Iteration 66, loss = 16728452883.70639992
Iteration 67, loss = 16546156223.78396988
Iteration 68, loss = 16438711393.45798683
Iteration 69, loss = 16333818106.18662834
Iteration 70, loss = 16226191597.18304634
Iteration 71, loss = 15897577008.12037849
Iteration 72, loss = 15661884121.75747490
Iteration 73, loss = 15429259451.42490005
Iteration 74, loss = 15311864482.13800049
Iteration 75, loss = 15041889851.57692146
Iteration 76, loss = 14715125123.57981682
Iteration 77, loss = 14518558210.80028152
Iteration 78, loss = 15029766883.49338531
Iteration 79, loss = 14181998018.45667648
Iteration 80, loss = 13858282008.96906853
Iteration 81, loss = 13536210977.87272072
Iteration 82, loss = 13205865923.92632866
Iteration 83, loss = 12872380613.57153893
Iteration 84, loss = 12559465203.65413475
Iteration 85, loss = 12248999433.85478592
Iteration 86, loss = 12350640151.99736977
Iteration 87, loss = 12117648765.05705643
Iteration 88, loss = 11393773938.14399147
Iteration 89, loss = 11347790810.89951324
Iteration 90, loss = 10761925143.73308372
Iteration 91, loss = 10309517906.90971565
Iteration 92, loss = 9985413092.44849396
Iteration 93, loss = 9577786387.09586143
Iteration 94, loss = 9568569987.51934052
Iteration 95, loss = 9678376158.25437355
Iteration 96, loss = 8798909818.22061157
Iteration 97, loss = 8242667996.82198524
Iteration 98, loss = 7804971328.62153339
Iteration 99, loss = 7412234960.65288448
Iteration 100, loss = 7376652387.88814163
Iteration 101, loss = 7163179200.22842979
Iteration 102, loss = 6556107920.64399147
Iteration 103, loss = 6449633752.42315865
Iteration 104, loss = 6419678529.99463940
Iteration 105, loss = 6724367039.05655289
Iteration 106, loss = 5938184047.55074501
Iteration 107, loss = 5138219650.31886768
Iteration 108, loss = 4741677489.17825222
Iteration 109, loss = 4348357051.72591782
Iteration 110, loss = 3993017811.02712870
Iteration 111, loss = 3649047963.41170216
Iteration 112, loss = 3369860118.15407896
Iteration 113, loss = 3647814578.48930502
Iteration 114, loss = 3826822098.92991209
Iteration 115, loss = 4048373422.41457844
Iteration 116, loss = 2763907803.56702280
Iteration 117, loss = 2454612816.45127296
Iteration 118, loss = 2157117296.35389137
Iteration 119, loss = 1895384496.28555179
Iteration 120, loss = 1647285045.19216609
Iteration 121, loss = 1445848430.50876403
Iteration 122, loss = 1320745528.87393022
Iteration 123, loss = 1215465914.67537737
Iteration 124, loss = 1337161914.97073817
Iteration 125, loss = 843450185.34095752
Iteration 126, loss = 706054932.70620322
Iteration 127, loss = 576069257.98093593
Iteration 128, loss = 519188809.81823617
Iteration 129, loss = 855854123.72838366
Iteration 130, loss = 603537738.85136473
Iteration 131, loss = 811620439.19804776
Iteration 132, loss = 334493832.59654099
Iteration 133, loss = 238987929.78251636
Iteration 134, loss = 180258449.94211435
Iteration 135, loss = 132332050.14132018
Iteration 136, loss = 102832097.21665114
Iteration 137, loss = 132125366.76218787
Iteration 138, loss = 235476940.10732782
Iteration 139, loss = 46690445.96899549
Iteration 140, loss = 28845660.02944780
Iteration 141, loss = 20840950.49220286
Iteration 142, loss = 16073967.35584832
Iteration 143, loss = 12104658.68210029
Iteration 144, loss = 9097443.11779270
Iteration 145, loss = 7460031.42320253
Iteration 146, loss = 7734192.15195221
Iteration 147, loss = 5653077.57453786
Iteration 148, loss = 5089106.79618740
Iteration 149, loss = 4708997.41993474
Iteration 150, loss = 4510172.73096795
Iteration 151, loss = 4406724.37522569
Iteration 152, loss = 4352313.30099735
Iteration 153, loss = 4127857.08528218
Iteration 154, loss = 4112824.87225703
Iteration 155, loss = 4106034.09664379
Iteration 156, loss = 4031140.78205803
Iteration 157, loss = 3897222.89021724
Iteration 158, loss = 3821625.70143158
Iteration 159, loss = 3720068.63716970
Iteration 160, loss = 3677644.40124568
Iteration 161, loss = 3725058.48518152
Iteration 162, loss = 3862638.47109372
Iteration 163, loss = 3530502.69275973
Iteration 164, loss = 3879613.51591025
Iteration 165, loss = 4754794.97165902
Iteration 166, loss = 3694534.33526056
Iteration 167, loss = 3438297.46319159
Iteration 168, loss = 3583811.68772271
Iteration 169, loss = 3423822.74007559
Iteration 170, loss = 3471631.32786321
Iteration 171, loss = 3458931.21024873
Iteration 172, loss = 4127920.93867883
Iteration 173, loss = 3768112.39768937
Iteration 174, loss = 3445035.96803389
Iteration 175, loss = 4828705.33516669
Iteration 176, loss = 4390068.42775005
Iteration 177, loss = 3179546.96165875
Iteration 178, loss = 3464109.09597534
Iteration 179, loss = 3233080.03757475
Iteration 180, loss = 2956883.79409412
Iteration 181, loss = 3397759.27309571
Iteration 182, loss = 2886283.62887008
Iteration 183, loss = 2881944.66286762
Iteration 184, loss = 3122581.76165907
Iteration 185, loss = 5015106.55780596
Iteration 186, loss = 3356709.24161389
Iteration 187, loss = 3073460.05077359
Iteration 188, loss = 4032393.58512560
Iteration 189, loss = 3243299.49686936
Iteration 190, loss = 2644367.82027917
Iteration 191, loss = 2786861.20544234
Iteration 192, loss = 2635685.27649711
Iteration 193, loss = 3638833.82027849
Iteration 194, loss = 2546810.11652313
Iteration 195, loss = 3643585.52393860
Iteration 196, loss = 3492755.01170840
Iteration 197, loss = 5244446.22238544
Iteration 198, loss = 2560143.56957876
Iteration 199, loss = 2867723.75157184
Iteration 200, loss = 2554700.75684484
Iteration 201, loss = 2732314.61383412
Iteration 202, loss = 3187786.19538640
Iteration 203, loss = 4394140.63949012
Iteration 204, loss = 2786399.09843151
Iteration 205, loss = 2501192.62514694
Iteration 206, loss = 10270021.91473871
